iter	Passed	Remaining
846	78648	14206
847	78805	14125
848	78938	14039
849	79040	13948
850	79142	13856
851	79221	13761
852	79282	13662
853	79342	13564
854	79421	13469
855	79535	13379
856	79658	13291
857	79743	13197
858	79855	13107
859	79931	13012
860	80015	12917
861	80122	12827
862	80201	12731
863	80239	12630
864	80279	12529
865	80305	12426
866	80343	12324
867	80369	12222
868	80398	12119
869	80423	12017
870	80458	11916
871	80490	11815
872	80526	11714
873	80578	11616
874	80620	11517
875	80648	11416
876	80677	11315
877	80714	11215
878	80737	11114
879	80762	11013
880	80794	10913
881	80890	10822
882	80985	10730
883	81005	10629
884	81039	10530
885	81074	10431
886	81103	10332
887	81133	10233
888	81156	10133
889	81179	10033
890	81198	9933
891	81220	9833
892	81242	9734
893	81375	9648
894	81655	9579
895	81811	9495
896	81966	9411
897	82141	9330
898	82323	9248
899	82455	9161
900	82556	9071
901	82673	8982
902	82770	8891
903	82889	8802
904	82987	8711
905	83083	8620
906	83205	8531
907	83323	8442
908	83372	8346
909	83405	8248
910	83461	8153
911	83550	8061
912	83637	7969
913	83755	7880
914	83847	7789
915	84014	7704
916	84112	7613
917	84205	7521
918	84289	7429
919	84396	7338
920	84498	7247
921	84585	7155
922	84629	7060
923	84656	6963
924	84861	6880
925	84903	6784
926	84932	6688
927	84951	6591
928	84983	6494
929	85009	6398
930	85047	6303
931	85081	6207
932	85124	6112
933	85226	6022
934	85310	5930
935	85405	5839
936	85441	5744
937	85479	5650
938	85506	5554
939	85538	5459
940	85560	5364
941	85579	5269
942	85601	5174
943	85625	5079
944	85654	4985
945	85682	4890
946	85715	4797
947	85744	4703
948	85777	4609
949	85805	4516
950	85829	4422
951	85881	4330
952	85920	4237
953	85953	4144
954	85980	4051
955	86010	3958
956	86036	3865
957	86061	3773
958	86084	3680
959	86105	3587
960	86133	3495
961	86154	3403
962	86170	3310
963	86186	3218
964	86211	3126
965	86226	3034
966	86253	2943
967	86282	2852
968	86305	2761
969	86337	2670
970	86364	2579
971	86387	2488
972	86415	2397
973	86444	2307
974	86470	2217
975	86496	2126
976	86526	2036
977	86548	1946
978	86566	1856
979	86583	1767
980	86602	1677
981	86621	1587
982	86638	1498
983	86661	1409
984	86685	1320
985	86708	1231
986	86727	1142
987	86747	1053
988	86766	965
989	86781	876
990	86801	788
991	86818	700
992	86835	612
993	86851	524
994	86866	436
995	86883	348
996	86897	261
997	86910	174
998	86924	87
999	86938	0
	346
996	86367	259
997	86390	173
998	86414	86
999	86437	0

998	84885	84
999	84914	0
